fp .fem-pilots-light-526.png
 	Label 	 Score
2	Cockpit 	 86.30544543266296 
3	Helicopter pilot 	 83.12601447105408 
4	Aircraft 	 81.05608820915222 
5	Air travel 	 80.33466339111328 
6	Vehicle 	 78.43888998031616 
7	Engineering 	 77.8615653514862 
8	Aviation 	 76.70173645019531 
9	Motor vehicle 	 75.82795023918152 
	Object 	 Score
0	Headphones 	 87.6299500465393 
1	Person 	 87.38727569580078 
2	Clothing 	 80.06054759025574 


fp .fem-pilots-light-470.jpg
 	Label 	 Score
0	Smile 	 98.0284333229065 
1	Peaked cap 	 93.32944750785828 
2	Military uniform 	 92.19371676445007 
3	Military person 	 89.88162279129028 
4	Gesture 	 85.2604866027832 
5	Non-commissioned officer 	 84.11353826522827 
6	Badge 	 83.96806716918945 
7	Collar 	 83.40949416160583 
8	Military officer 	 81.34697675704956 
9	Blazer 	 78.14810276031494 
	Object 	 Score
0	Hat 	 92.3845887184143 
1	Tie 	 71.70957326889038 
2	Person 	 57.2615385055542 


fp .fem-pilots-light-467.jpg
 	Label 	 Score
0	Dog 	 95.2768087387085 
1	Smile 	 94.6341872215271 
2	Carnivore 	 88.93925547599792 
3	Dog breed 	 87.89562582969666 
4	Gesture 	 85.2604866027832 
5	Companion dog 	 82.04553723335266 
6	Fawn 	 81.5324068069458 
7	Working animal 	 80.89792132377625 
8	Toy 	 78.88745069503784 
9	Cap 	 77.0324170589447 
	Object 	 Score
0	Person 	 84.72793698310852 
1	Hat 	 84.52730774879456 
2	Hat 	 84.25098061561584 
3	Dog 	 80.04774451255798 
4	Glasses 	 61.5991473197937 


fp .fem-pilots-light-469.jpg
 	Label 	 Score
0	Sky 	 91.71802997589111 
1	Aircraft 	 88.27938437461853 
2	Travel 	 84.45147275924683 
3	Vehicle 	 83.13835263252258 
4	Airplane 	 80.64559698104858 
5	Aerospace manufacturer 	 80.15617728233337 
6	Air travel 	 78.85716557502747 
7	Aviation 	 77.15336680412292 
8	Event 	 71.74801826477051 
9	Electric blue 	 71.63083553314209 
	Object 	 Score
0	Person 	 85.23629307746887 
1	Person 	 84.84764099121094 
2	Person 	 84.04422998428345 
3	Luggage & bags 	 80.37329316139221 
4	Person 	 79.6876847743988 
5	Person 	 79.0195107460022 
6	Airplane 	 76.93904042243958 
7	Person 	 76.24093294143677 
8	Pants 	 66.79269075393677 
9	Luggage & bags 	 66.1838173866272 


fp .fem-pilots-light-468.jpg
 	Label 	 Score
0	Smile 	 96.69896364212036 
1	Cap 	 88.163822889328 
2	Sleeve 	 87.2410774230957 
3	Gesture 	 85.2604866027832 
4	Headgear 	 84.00253653526306 
5	Mortarboard 	 82.30864405632019 
6	Collar 	 81.57786726951599 
7	Happy 	 79.63175177574158 
8	Hat 	 79.36553359031677 
9	Costume hat 	 78.29056978225708 
	Object 	 Score
0	Hat 	 91.59253239631653 
1	Person 	 84.97633934020996 
2	Tie 	 77.86057591438293 
3	Outerwear 	 62.61988282203674 
4	Coat 	 55.535030364990234 


fp .fem-pilots-light-466.jpg
 	Label 	 Score
0	Smile 	 94.68011260032654 
1	Vehicle 	 89.91223573684692 
2	Gesture 	 85.2604866027832 
3	Aerospace manufacturer 	 82.01544284820557 
4	Tie 	 78.5714864730835 
5	Aircraft 	 78.13867330551147 
6	Travel 	 77.64888405799866 
7	Gas 	 77.22446322441101 
8	Airplane 	 77.1188735961914 
9	Blazer 	 76.4849603176117 
	Object 	 Score
0	Hat 	 88.32535147666931 
1	Person 	 83.07431936264038 
2	Person 	 68.00546646118164 
3	Tie 	 62.502485513687134 


fp .fem-pilots-light-461.jpg
 	Label 	 Score
0	Vehicle 	 92.93208122253418 
1	Smile 	 92.01662540435791 
2	Cockpit 	 83.62930417060852 
3	Flight instruments 	 83.02691578865051 
4	Air travel 	 82.39026665687561 
5	Travel 	 79.17367219924927 
6	Engineering 	 75.6636917591095 
7	Aviation 	 75.57739615440369 
8	Motor vehicle 	 74.80776906013489 
9	Aircraft 	 72.46293425559998 
	Object 	 Score
0	Person 	 83.99150371551514 
1	Top 	 73.48775863647461 
2	Glasses 	 63.878047466278076 


fp .fem-pilots-light-463.jpg
 	Label 	 Score
0	Cockpit 	 85.42100191116333 
1	Air travel 	 83.92963409423828 
2	Smile 	 80.25080561637878 
3	Engineering 	 76.25434398651123 
4	Aircraft 	 75.92911720275879 
5	Vehicle 	 75.4396915435791 
6	Aviation 	 75.07539987564087 
7	Airline 	 74.98616576194763 
8	Airplane 	 74.37894940376282 
9	Airliner 	 73.71684312820435 
	Object 	 Score
0	Person 	 89.16143774986267 
1	Clothing 	 54.83645796775818 
2	Person 	 51.4998197555542 
3	Top 	 50.342315435409546 


fp .fem-pilots-light-465.jpg
 	Label 	 Score
0	Vehicle 	 90.17635583877563 
1	Smile 	 86.02586388587952 
2	Travel 	 78.75256538391113 
3	Engineering 	 78.0979573726654 
4	Aerospace engineering 	 71.40138149261475 
5	Motor vehicle 	 69.37057971954346 
6	Air travel 	 69.04565095901489 
7	Machine 	 67.08549857139587 
8	Windshield 	 66.17960333824158 
9	Job 	 65.96136689186096 
	Object 	 Score
0	Person 	 89.4778311252594 
1	Clothing 	 68.8426673412323 


fp .fem-pilots-light-462.jpg
 	Label 	 Score
0	Aircraft 	 92.46524572372437 
1	Vehicle 	 91.46896600723267 
2	Tire 	 89.82612490653992 
3	Airplane 	 86.74435019493103 
4	Aerospace manufacturer 	 84.52544212341309 
5	Aircraft engine 	 83.70569944381714 
6	Aviation 	 83.52254033088684 
7	Wheel 	 83.22990536689758 
8	Flap 	 83.18408727645874 
9	Air travel 	 81.47779107093811 
	Object 	 Score
0	Person 	 82.9442024230957 


fp .fem-pilots-light-464.jpg
 	Label 	 Score
0	Vehicle 	 92.47800707817078 
1	Aircraft 	 89.26364183425903 
2	Aviation 	 85.44585704803467 
3	Gesture 	 85.2604866027832 
4	Tire 	 85.10704636573792 
5	Military person 	 84.71347093582153 
6	Military camouflage 	 83.71441960334778 
7	Military uniform 	 77.62176394462585 
8	Military aircraft 	 77.48138308525085 
9	Motor vehicle 	 77.29741930961609 
	Object 	 Score
0	Wheel 	 87.55369782447815 
1	Person 	 84.43353772163391 


fp .fem-pilots-light-523.png
 	Label 	 Score
0	Smile 	 97.25697636604309 
1	Eye 	 93.83073449134827 
2	Organ 	 90.65219163894653 
3	Automotive tire 	 90.05928039550781 
4	Azure 	 89.57785367965698 
5	Blue 	 89.52804803848267 
6	Flash photography 	 86.94590926170349 
7	Happy 	 84.24816131591797 
8	Sky 	 83.04848670959473 
9	Gas 	 77.95241475105286 
	Object 	 Score
0	Person 	 87.1556282043457 
1	Belt 	 81.67797327041626 
2	Top 	 77.10245251655579 
3	Pants 	 65.1166319847107 
4	Shirt 	 58.78835320472717 


fp .fem-pilots-light-460.jpg
 	Label 	 Score
0	Smile 	 97.22323417663574 
1	Tie 	 87.32212781906128 
2	Vision care 	 85.4282796382904 
3	Gesture 	 85.2604866027832 
4	Eyewear 	 82.93625712394714 
5	Dress shirt 	 80.0711452960968 
6	Thumb 	 75.3807783126831 
7	Vehicle 	 73.40100407600403 
8	Event 	 71.57748937606812 
9	Sunglasses 	 70.33862471580505 
	Object 	 Score
0	Person 	 85.93153953552246 
1	Sunglasses 	 85.44614911079407 
2	Tie 	 83.89568328857422 
3	Top 	 61.95451617240906 


fp .fem-pilots-light-458.jpg
 	Label 	 Score
0	Military camouflage 	 92.62887835502625 
1	Glove 	 92.55114793777466 
2	Vehicle 	 90.29823541641235 
3	Military uniform 	 90.19220471382141 
4	Military person 	 88.5938286781311 
5	Helmet 	 88.15059661865234 
6	Gesture 	 85.2604866027832 
7	Marines 	 84.63601469993591 
8	Soldier 	 82.85195827484131 
9	Aircraft 	 82.50001072883606 
	Object 	 Score
0	Helmet 	 88.77472281455994 
1	Person 	 88.48091959953308 
2	Person 	 59.778618812561035 
3	Clothing 	 54.482436180114746 


fp .fem-pilots-light-453.jpg
 	Label 	 Score
0	Vehicle 	 94.37352418899536 
1	Smile 	 91.87830686569214 
2	Aircraft 	 90.73406457901001 
3	Airplane 	 87.95207142829895 
4	Aviation 	 81.34905099868774 
5	Aerospace manufacturer 	 78.36166620254517 
6	Crew 	 74.94539618492126 
7	Pilot 	 71.46102786064148 
8	Propeller-driven aircraft 	 70.93241214752197 
9	Motor vehicle 	 69.41870450973511 
	Object 	 Score
0	Person 	 87.8811776638031 
1	Person 	 85.32139658927917 
2	Outerwear 	 58.47829580307007 
3	Clothing 	 55.69046139717102 
4	Outerwear 	 55.165690183639526 
5	Footwear 	 55.04693388938904 
6	Footwear 	 53.47095727920532 
7	Wheel 	 52.387309074401855 
8	Pants 	 50.94233155250549 


fp .fem-pilots-light-504.png
 	Label 	 Score
0	Human body 	 88.36886286735535 
1	Gesture 	 85.2604866027832 
2	Thigh 	 80.50031661987305 
3	Hat 	 76.36883854866028 
4	Event 	 71.87374234199524 
5	Waist 	 70.0900137424469 
6	Pattern 	 66.00931286811829 
7	Fun 	 64.77620005607605 
8	Leisure 	 63.01475167274475 
9	Human leg 	 61.258018016815186 
	Object 	 Score
0	Person 	 83.26754570007324 
1	Pants 	 82.22895860671997 
2	Person 	 81.66707754135132 
3	Top 	 76.2219250202179 
4	Shorts 	 69.98363733291626 
5	Top 	 69.54984068870544 
6	Belt 	 68.77768635749817 
7	Footwear 	 61.556655168533325 
8	Person 	 59.817326068878174 
9	Clothing 	 55.168771743774414 


fp .fem-pilots-light-520.png
 	Label 	 Score
0	Forehead 	 98.46563935279846 
1	Chin 	 96.6018557548523 
2	Smile 	 95.62932252883911 
3	Eyebrow 	 93.87786388397217 
4	Jaw 	 88.08093667030334 
5	Dress shirt 	 83.8005006313324 
6	Tie 	 82.88901448249817 
7	Collar 	 81.83773159980774 
8	Wrinkle 	 73.63923192024231 
9	Happy 	 70.46892046928406 
	Object 	 Score
0	Tie 	 91.92705750465393 
1	Person 	 75.98587274551392 
2	Clothing 	 68.34399104118347 


fp .fem-pilots-light-454.jpg
 	Label 	 Score
0	Sky 	 97.41321802139282 
1	Aircraft 	 91.88876152038574 
