ffa .fem-flight-attendants-light-168.jpg
 	Label 	 Score
5	Blazer 	 78.26260924339294 
6	Fashion design 	 77.31320261955261 
7	White-collar worker 	 76.91277861595154 
8	Travel 	 76.40529274940491 
9	Happy 	 75.76082348823547 
	Object 	 Score
0	Bowtie 	 93.38356256484985 
1	Person 	 89.68303799629211 
2	Outerwear 	 75.96216201782227 


ffa .fem-flight-attendants-light-503.jpg
 	Label 	 Score
0	Neck 	 88.43337893486023 
1	Sleeve 	 87.24503517150879 
2	Dress shirt 	 85.31956076622009 
3	Collar 	 84.13575291633606 
4	Blazer 	 78.27624082565308 
5	Fashion design 	 76.49163007736206 
6	White-collar worker 	 75.81208348274231 
7	Formal wear 	 75.1130223274231 
8	Electric blue 	 74.8485267162323 
9	Jewellery 	 74.31655526161194 
	Object 	 Score
0	Person 	 87.32818365097046 
1	Outerwear 	 77.23259925842285 
2	Scarf 	 67.63019561767578 


ffa .fem-flight-attendants-light-91.jpg
 	Label 	 Score
0	Hairstyle 	 95.09009122848511 
1	Automotive design 	 87.96864748001099 
2	Flash photography 	 86.47385239601135 
3	Gesture 	 85.2604866027832 
4	Eyewear 	 84.28930044174194 
5	Comfort 	 83.87392163276672 
6	Black hair 	 77.44562029838562 
7	Fashion design 	 74.92812275886536 
8	Air travel 	 74.57993030548096 
9	Fun 	 74.17469620704651 
	Object 	 Score
0	Top 	 88.72547745704651 
1	Person 	 87.98134922981262 
2	Tie 	 85.33353209495544 
3	Skirt 	 79.7803521156311 
4	Person 	 79.29114699363708 
5	Person 	 73.84494543075562 
6	Mirror 	 68.73204112052917 
7	Pants 	 64.74364995956421 
8	Miniskirt 	 62.27380037307739 
9	Furniture 	 62.236952781677246 


ffa .fem-flight-attendants-light-211.jpg
 	Label 	 Score
0	Lip 	 96.94132804870605 
1	Smile 	 96.78130149841309 
2	Outerwear 	 95.41754126548767 
3	Sleeve 	 87.24376559257507 
4	Gesture 	 85.2604866027832 
5	Collar 	 83.74514579772949 
6	Happy 	 82.42710828781128 
7	Jacket 	 82.01158046722412 
8	Scarf 	 79.15128469467163 
9	Blazer 	 78.24298739433289 
	Object 	 Score
0	Scarf 	 94.68120336532593 
1	Person 	 88.57096433639526 


ffa .fem-flight-attendants-light-161.jpg
 	Label 	 Score
0	Tire 	 96.34014368057251 
1	Wheel 	 94.29473876953125 
2	Sky 	 92.48934984207153 
3	Aircraft 	 90.26269316673279 
4	Vehicle 	 89.88350033760071 
5	Airplane 	 87.56148219108582 
6	Aerospace manufacturer 	 83.94513130187988 
7	Line 	 81.69252276420593 
8	Travel 	 80.56433200836182 
9	Aircraft engine 	 78.84212136268616 
	Object 	 Score
0	Person 	 85.36144495010376 


ffa .fem-flight-attendants-light-216.jpg
 	Label 	 Score
0	Smile 	 98.01571369171143 
1	Hairstyle 	 95.09009122848511 
2	Flash photography 	 86.76245212554932 
3	Automotive design 	 83.16121101379395 
4	Happy 	 80.7712972164154 
5	Eyelash 	 77.32248902320862 
6	Fashion design 	 75.8080780506134 
7	Electric blue 	 75.35245418548584 
8	Jewellery 	 74.33782815933228 
9	Long hair 	 74.22409653663635 
	Object 	 Score
0	Scarf 	 92.69866943359375 
1	Person 	 84.17589068412781 
2	Top 	 77.82860398292542 
3	Person 	 67.12098717689514 
4	Person 	 65.7285213470459 
5	Person 	 52.95974612236023 


ffa .fem-flight-attendants-light-157.jpg
 	Label 	 Score
0	Smile 	 97.37798571586609 
1	Gesture 	 85.2604866027832 
2	Tie 	 85.17887592315674 
3	Fashion design 	 79.85581755638123 
4	Blazer 	 78.2486617565155 
5	Formal wear 	 75.76704621315002 
6	Electric blue 	 75.13057589530945 
7	Event 	 74.41652417182922 
8	White-collar worker 	 74.2086112499237 
9	Suit 	 74.19398427009583 
	Object 	 Score
0	Person 	 92.82447695732117 
1	Person 	 85.71575284004211 
2	Person 	 83.59470963478088 
3	Luggage & bags 	 79.28239703178406 
4	Outerwear 	 78.41894030570984 
5	Tie 	 66.08389019966125 


ffa .fem-flight-attendants-light-496.jpg
 	Label 	 Score
0	Airplane 	 89.76413607597351 
1	Automotive design 	 89.51489925384521 
2	Aircraft cabin 	 88.08498978614807 
3	Sleeve 	 87.17693090438843 
4	Air travel 	 85.37425994873047 
5	Collar 	 83.47956538200378 
6	Aircraft 	 83.29237699508667 
7	Comfort 	 82.61038064956665 
8	Travel 	 81.6227912902832 
9	Flight attendant 	 78.23380827903748 
	Object 	 Score
0	Person 	 91.17557406425476 
1	Skirt 	 90.30123949050903 
2	Top 	 89.33350443840027 


ffa .fem-flight-attendants-light-491.jpg
 	Label 	 Score
0	Photograph 	 94.13731694221497 
1	Aircraft 	 90.78315496444702 
2	Smile 	 89.69371914863586 
3	Vehicle 	 87.22076416015625 
4	Airplane 	 85.6647789478302 
5	Travel 	 84.86378788948059 
6	Air travel 	 83.43253135681152 
7	Aerospace manufacturer 	 83.25173854827881 
8	Aviation 	 79.47994470596313 
9	Flap 	 78.56845259666443 
	Object 	 Score
0	Tie 	 90.90065956115723 
1	Person 	 90.2353286743164 
2	Outerwear 	 90.03536105155945 
3	Coat 	 67.3797607421875 


ffa .fem-flight-attendants-light-148.jpg
 	Label 	 Score
0	Smile 	 94.95332837104797 
1	Comfort 	 83.64198803901672 
2	Aircraft 	 81.6718339920044 
3	Health care 	 80.06640672683716 
4	Airplane 	 78.4469485282898 
5	Aerospace manufacturer 	 78.1914472579956 
6	Service 	 76.78265571594238 
7	Air travel 	 75.11101365089417 
8	Aircraft cabin 	 74.68971610069275 
9	Medical equipment 	 74.47700500488281 
	Object 	 Score
0	Tie 	 91.50029420852661 
1	Person 	 89.36459422111511 
2	Person 	 85.72339415550232 
3	Skirt 	 85.3162407875061 
4	Mirror 	 80.52570223808289 
5	Top 	 71.97355628013611 
6	Mirror 	 59.26511883735657 


ffa .fem-flight-attendants-light-102.jpg
 	Label 	 Score
0	Smile 	 94.45657134056091 
1	Gesture 	 85.2604866027832 
2	Automotive design 	 83.1428050994873 
3	Dress shirt 	 82.44380354881287 
4	Sleeve 	 82.07166790962219 
5	Event 	 72.53679633140564 
6	White-collar worker 	 71.68464064598083 
7	Formal wear 	 69.74023580551147 
8	Air travel 	 67.77269244194031 
9	Happy 	 65.95968008041382 
	Object 	 Score
0	Person 	 90.30081629753113 
1	Top 	 89.05410766601562 
2	Tie 	 85.53253412246704 
3	Person 	 80.1527202129364 
4	Shirt 	 67.9101049900055 
5	Top 	 66.53822660446167 


ffa .fem-flight-attendants-light-189.jpg
 	Label 	 Score
0	Tartan 	 87.28662133216858 
1	Sleeve 	 87.24502921104431 
2	Waist 	 85.76480150222778 
3	Luggage and bags 	 84.41042304039001 
4	Collar 	 84.0724527835846 
5	Knee 	 83.45531821250916 
6	Bag 	 80.75000643730164 
7	Thigh 	 79.08636331558228 
8	Blazer 	 78.27691435813904 
9	Plaid 	 77.30147242546082 
	Object 	 Score
0	Scarf 	 93.47915053367615 
1	Outerwear 	 89.8476779460907 
2	Person 	 89.38233256340027 
3	Luggage & bags 	 89.34717178344727 
4	Skirt 	 87.23605275154114 
5	Pants 	 50.21130442619324 
6	Dress 	 50.13675093650818 


ffa .fem-flight-attendants-light-86.jpg
 	Label 	 Score
0	Smile 	 95.90830206871033 
1	Hand 	 95.72520852088928 
2	Gesture 	 85.2604866027832 
3	Happy 	 78.7337064743042 
4	Blazer 	 78.27240228652954 
5	Entertainment 	 75.73487758636475 
6	Formal wear 	 74.4648814201355 
